timMon,timMday,timYear,timHour,timMin,timSec,latitude,longitude,fix_quality,satellites,altitude_m,speed_knots,track_angle_deg,horizontal_dilution,height_geoid
12,|,11,|,2022,|,15,|,28,|,19,|,50.618068,|,4.643743,|,1,|,7,|,,|,0.45,|,343.05,|,,|,
12,|,11,|,2022,|,15,|,28,|,20,|,50.618068,|,4.643746,|,1,|,10,|,136.7,|,0.45,|,343.05,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,28,|,20,|,50.618068,|,4.643746,|,1,|,10,|,136.7,|,0.45,|,343.05,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,28,|,20,|,50.618068,|,4.643746,|,1,|,10,|,136.7,|,0.45,|,343.05,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,28,|,20,|,50.618068,|,4.643746,|,1,|,10,|,136.7,|,0.52,|,86.96,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,28,|,20,|,50.618068,|,4.643746,|,1,|,10,|,136.7,|,0.52,|,86.96,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,28,|,20,|,50.618068,|,4.643746,|,1,|,10,|,136.7,|,0.52,|,86.96,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,28,|,50,|,50.618133,|,4.643743,|,1,|,9,|,136.4,|,0.52,|,86.96,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,50,|,50.618133,|,4.643743,|,1,|,9,|,136.4,|,0.52,|,86.96,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,50,|,50.618133,|,4.643743,|,1,|,9,|,136.4,|,0.52,|,86.96,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,50,|,50.618133,|,4.643743,|,1,|,9,|,136.4,|,1.14,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,50,|,50.618133,|,4.643743,|,1,|,9,|,136.4,|,1.14,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,51,|,50.618133,|,4.64375,|,1,|,9,|,136.5,|,1.14,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,51,|,50.618133,|,4.64375,|,1,|,9,|,136.5,|,1.14,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,51,|,50.618133,|,4.64375,|,1,|,9,|,136.5,|,1.14,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,51,|,50.618133,|,4.64375,|,1,|,9,|,136.5,|,1.06,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,51,|,50.618133,|,4.64375,|,1,|,9,|,136.5,|,1.06,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,52,|,50.618135,|,4.643756,|,1,|,8,|,136.5,|,1.06,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,52,|,50.618135,|,4.643756,|,1,|,8,|,136.5,|,1.06,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,52,|,50.618135,|,4.643756,|,1,|,8,|,136.5,|,1.06,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,52,|,50.618135,|,4.643756,|,1,|,8,|,136.5,|,1.0,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,52,|,50.618135,|,4.643756,|,1,|,8,|,136.5,|,1.0,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,53,|,50.618136,|,4.643761,|,1,|,9,|,136.5,|,1.0,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,53,|,50.618136,|,4.643761,|,1,|,9,|,136.5,|,1.0,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,53,|,50.618136,|,4.643761,|,1,|,9,|,136.5,|,1.0,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,53,|,50.618136,|,4.643761,|,1,|,9,|,136.5,|,0.86,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,53,|,50.618136,|,4.643761,|,1,|,9,|,136.5,|,0.86,|,86.31,|,1.3,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,8,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,8,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,8,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,12,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,12,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,12,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,7,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,7,|,136.6,|,0.86,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,7,|,136.6,|,0.74,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,54,|,50.618133,|,4.64377,|,1,|,7,|,136.6,|,0.74,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.74,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.74,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.74,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.56,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.56,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.56,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,28,|,55,|,50.618133,|,4.643771,|,1,|,8,|,136.6,|,0.56,|,86.31,|,1.32,|,47.4
12,|,11,|,2022,|,15,|,29,|,25,|,50.618181,|,4.643696,|,1,|,10,|,140.5,|,0.56,|,86.31,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,25,|,50.618181,|,4.643696,|,1,|,10,|,140.5,|,0.56,|,86.31,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,25,|,50.618181,|,4.643696,|,1,|,10,|,140.5,|,0.56,|,86.31,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,25,|,50.618181,|,4.643696,|,1,|,10,|,140.5,|,0.61,|,228.18,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,25,|,50.618181,|,4.643696,|,1,|,10,|,140.5,|,0.61,|,228.18,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,26,|,50.61818,|,4.64369,|,1,|,10,|,140.9,|,0.61,|,228.18,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,26,|,50.61818,|,4.64369,|,1,|,10,|,140.9,|,0.61,|,228.18,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,26,|,50.61818,|,4.64369,|,1,|,10,|,140.9,|,0.61,|,228.18,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,26,|,50.61818,|,4.64369,|,1,|,10,|,140.9,|,0.88,|,233.56,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,26,|,50.61818,|,4.64369,|,1,|,10,|,140.9,|,0.88,|,233.56,|,1.26,|,47.4
12,|,11,|,2022,|,15,|,29,|,27,|,50.618168,|,4.643688,|,1,|,11,|,141.3,|,0.88,|,233.56,|,1.08,|,47.4
12,|,11,|,2022,|,15,|,29,|,27,|,50.618168,|,4.643688,|,1,|,11,|,141.3,|,0.88,|,233.56,|,1.08,|,47.4
12,|,11,|,2022,|,15,|,29,|,27,|,50.618168,|,4.643688,|,1,|,11,|,141.3,|,0.88,|,233.56,|,1.08,|,47.4
12,|,11,|,2022,|,15,|,29,|,27,|,50.618168,|,4.643688,|,1,|,11,|,141.3,|,0.93,|,230.23,|,1.08,|,47.4
12,|,11,|,2022,|,15,|,29,|,27,|,50.618168,|,4.643688,|,1,|,11,|,141.3,|,0.93,|,230.23,|,1.08,|,47.4
12,|,11,|,2022,|,15,|,29,|,28,|,50.61817,|,4.643688,|,1,|,10,|,141.7,|,0.93,|,230.23,|,1.1,|,47.4
